package	n_ids	n_tools	opts	pairs_audited	dup_pairs	corpora	n_eligible_v2	ids
tengine	4	2	O0,O1,O2,O3	0	0	clang_o1o3,local_main,local_main:cross_project,wulver	0	tengine_nginx_O0;tengine_nginx_O2;tengine_nginx_clang_O1;tengine_nginx_clang_O3
texinfo	8	2	O0,O1,O2,O3	12	1	local_main,wulver	7	texinfo_ginfo_O0;texinfo_ginfo_O1;texinfo_ginfo_O2;texinfo_ginfo_O3;texinfo_ginstall-info_O0;texinfo_ginstall-info_O1;texinfo_ginstall-info_O2;texinfo_ginstall-info_O3
tig	4	1	O0,O1,O2,O3	0	0	local_main:_p0_0_6_xrep,wulver	0	tig_tig_O0;tig_tig_O1;tig_tig_O2;tig_tig_O3
time	5	1	O0,O1,O2,O3,default	10	0	local_main,wulver	5	time_time;time_time_O0;time_time_O1;time_time_O2;time_time_O3
tinycc	4	1	O0,O1,O2,O3	0	0	local_main,wulver	0	tinycc_tcc_O0;tinycc_tcc_O1;tinycc_tcc_O2;tinycc_tcc_O3
tmux	2	1	O0,O2	1	0	local_main,wulver	0	tmux_tmux_O0;tmux_tmux_O2
toybox	1	1	O2	0	0	local_main:cross_project	0	toybox_toybox_O2
tree	4	1	O0,O1,O2,O3	6	0	local_main,wulver	4	tree_tree_O0;tree_tree_O1;tree_tree_O2;tree_tree_O3
units	5	1	O0,O1,O2,O3,default	10	0	local_main,wulver	5	units_units;units_units_O0;units_units_O1;units_units_O2;units_units_O3
units2	4	1	O0,O1,O2,O3	0	0	wulver	0	units2_units_O0;units2_units_O1;units2_units_O2;units2_units_O3
wdiff	4	1	O0,O1,O2,O3	6	0	local_main,wulver	4	wdiff_wdiff_O0;wdiff_wdiff_O1;wdiff_wdiff_O2;wdiff_wdiff_O3
wget	2	1	O0,O2	0	0	local_main,local_main:cross_project,wulver	0	wget_wget_O0;wget_wget_O2
which	5	1	O0,O1,O2,O3,default	10	0	local_main,local_main:cross_project,wulver	5	which_which;which_which_O0;which_which_O1;which_which_O2;which_which_O3
which2	4	1	O0,O1,O2,O3	0	0	wulver	0	which2_which_O0;which2_which_O1;which2_which_O2;which2_which_O3
xz	6	3	O0,O2	3	0	local_main,wulver	0	xz_lzmainfo_O0;xz_lzmainfo_O2;xz_xz_O0;xz_xz_O2;xz_xzdec_O0;xz_xzdec_O2
zlib	16	4	O0,O1,O2,O3	12	0	clang_train,local_main,wulver	16	zlib_example_O0;zlib_example_O1;zlib_example_O2;zlib_example_O3;zlib_example_clang_O0;zlib_example_clang_O1;zlib_example_clang_O2;zlib_example_clang_O3;zlib_minigzip_O0;zlib_minigzip_O1;zlib_minigzip_O2;zlib_minigzip_O3;zlib_minigzip_clang_O0;zlib_minigzip_clang_O1;zlib_minigzip_clang_O2;zlib_minigzip_clang_O3
zsh	4	1	O0,O1,O2,O3	0	0	wulver	0	zsh_zsh_O0;zsh_zsh_O1;zsh_zsh_O2;zsh_zsh_O3
zstd	4	1	O0,O1,O2,O3	0	0	local_main,local_main:_p0_0_6_xrep,wulver	0	zstd_zstd_O0;zstd_zstd_O1;zstd_zstd_O2;zstd_zstd_O3
